ACAD,Quarter,School No,School Name,School Type,Offering,SSF Date,Orientation Status,Orientation Date,Meeting Id
Jasper Jessie,Oct-Dec,5070237,"Kittu Rani Chennamma Residential School(U)(Sc),Telagarahalli",New School,Ei ASSET,2025-12-29T00:00:00.000,Pending,,
Demo,Oct-Dec,5109464,Gujarat Tender 2,New School,Ei Mindspark,2025-12-29T00:00:00.000,Pending,,
Unknown,Oct-Dec,4000118,"Witty International School, Bhilwara",New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,5108173,Vikaasa Jubilee School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unnati Sharma,Oct-Dec,3149549,Global Indian International School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,4062318,"Global Indian International School, Bannerghatta",New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,3031830,Global Indian International School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,3889453,"Global Indian International School, Hadapsar",New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,2509933,Global Indian International School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,3409378,Shraddha Children^s Academy,New School,Ei CARES,2025-12-26T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,5017050,Global Indian International School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,5108368,Vikaasa Heritage School,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,4000123,"Witty International School, Udaipur",New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,5105154,Shraddha Children^s Academy,New School,Ei CARES,2025-12-26T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,3588889,Global Indian International School Balewadi,New School,Ei ASSET,2025-12-26T00:00:00.000,Completed,2026-01-06T14:30:00.000,51788000305796500
Unknown,Oct-Dec,3638758,Jain Public School,New School,Ei CARES,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,5108240,Vikaasa Progressive school,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,5108463,Vikaasa Public school,New School,Ei ASSET,2025-12-26T00:00:00.000,Pending,,
Unknown,Oct-Dec,3460641,Connaissance Edu Service Pvt. Ltd.,New School,Ei Mindspark,2025-12-21T00:00:00.000,Pending,,
Unknown,Oct-Dec,3996253,Ridge School,New School,Ei ASSET,2025-12-19T00:00:00.000,Pending,,
Jasper Jessie,Oct-Dec,5018337,Anthony Claret School,New School,Ei CARES,2025-12-18T00:00:00.000,Pending,,
Unknown,Oct-Dec,5107149,Stratton World School,New School,Ei Mindspark,2025-12-17T00:00:00.000,Pending,,
Unknown,Oct-Dec,3405627,Sankalp Senior Secondary School,New School,Ei CARES,2025-12-17T00:00:00.000,Pending,,
Unknown,Oct-Dec,5107149,Stratton World School,New School,Ei CARES,2025-12-17T00:00:00.000,Pending,,
Unknown,Oct-Dec,5107064,Manas International School,New School,Ei Mindspark,2025-12-16T00:00:00.000,Pending,,
Unknown,Oct-Dec,4129415,Manas International Play and Primary School,New School,Ei Mindspark,2025-12-16T00:00:00.000,Completed,2026-01-07T09:00:00.000,51788000304323540
Unknown,Oct-Dec,1244461,JKG International School,New School,Ei Mindspark,2025-12-13T00:00:00.000,Pending,,
Gargi Ghosh,Oct-Dec,5018035,"Apeejay School, Haldia",New School,Ei Mindspark,2025-12-13T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,4007320,"Motilal Talera English Medium School, Pune",New School,Ei CARES,2025-12-12T00:00:00.000,Pending,,
Unknown,Oct-Dec,5104191,Fortuna Shine School,New School,Ei CARES,2025-12-11T00:00:00.000,Pending,,
Unknown,Oct-Dec,5104191,Fortuna Shine School,New School,Ei Mindspark,2025-12-11T00:00:00.000,Pending,,
Unknown,Oct-Dec,1091054,Sai Grace Academy International,New School,Ei CARES,2025-12-10T00:00:00.000,Pending,,
